Text,label
We are pursuing an aggressive growth strategy across EMEA.,none
The team sets aggressive targets for quarterly revenue.,none
Aggressive pricing helped us win the mid-market segment.,none
An aggressive product roadmap means frequent releases.,none
Aggressive timelines require careful sprint planning.,none
Competitive salary and comprehensive benefits package.,none
We offer a competitive compensation package with equity.,none
Deep knowledge of the competitive landscape is helpful.,none
You will run competitive analysis for the product team.,none
Excellent communication skills are essential for this role.,none
Strong written and verbal communication skills required.,none
A collaborative team environment with regular knowledge sharing.,none
You will collaborate closely with design and product.,none
Professional English proficiency is required for client work.,none
Fluent written and spoken English needed for documentation.,none
Business-level English and any second language is a plus.,none
The chairperson will lead the quarterly board meetings.,none
Reports to the chair of the audit committee.,none
Our spokesperson coordinates all press inquiries.,none
Training in emotional intelligence frameworks is a plus.,none
You will support customers' emotional wellbeing during claims.,none
Our platform provides 24/7 monitoring for enterprise customers.,none
The support service runs 24/7 with rotating regional teams.,none
You will join an on-call rotation of one week per month.,none
Ability to lift 25 kg repeatedly is required for warehouse duties.,none
The physical demands of the role include standing for long periods.,none
"Salary range $90,000 to $120,000 depending on experience.",none
We are an equal opportunity employer and value diverse teams.,none
"If you meet most of these requirements, we encourage you to apply.",none
Bachelor's degree or equivalent practical experience.,none
Must be able to travel up to 25% for client visits.,none
Own the pricing strategy and drive market expansion.,none
Manage stakeholder relationships across departments.,none
Experience managing budgets over one million dollars.,none
Comfortable presenting to senior stakeholders.,none
We offer flexible working hours and hybrid schedules.,none
Mentor junior engineers and nurture their career growth.,none
Nurture client relationships through regular check-ins.,none
Champion best practices across engineering teams.,none
Alpha testing of new features happens with pilot customers.,none
"Peak season includes additional shifts, scheduled four weeks in advance.",none
"Confident use of Excel, SQL, and dashboarding tools.",none
This customer support role includes scheduled weekend shifts on a rota.,none
Detail-oriented approach to monthly financial reporting.,none
Drive adoption of the new CRM across the sales organization.,none
Patient and clear when explaining technical concepts.,none
Energetic customer-facing role in a busy retail store.,none
A dynamic environment where priorities can shift weekly.,none
Proven track record of shipping production software.,none
Strong analytical skills and attention to detail.,none
We need someone with an aggressive personality to win deals.,masculine_coded
Looking for an aggressive individual who dominates negotiations.,masculine_coded
An aggressive attitude is required to survive our sales floor.,masculine_coded
Only aggressive people succeed on this team.,masculine_coded
Seeking a rockstar developer to join our elite squad.,masculine_coded
Coding ninja wanted for our platform team.,masculine_coded
Marketing guru who lives to crush targets.,masculine_coded
"A relentless, fearless closer who kills it every quarter.",masculine_coded
Dominant personalities thrive on our trading desk.,masculine_coded
We want alpha personalities who take charge of every room.,masculine_coded
"Competitive, hard-charging individuals only.",masculine_coded
You have killer instinct and love the fight.,masculine_coded
A hustle mentality is non-negotiable here.,masculine_coded
Superstar salesperson with real swagger.,masculine_coded
Fearless self-promoter who commands the room.,masculine_coded
A cutthroat environment for those with thick skin.,masculine_coded
"Assertive, dominant go-getter with high-octane energy.",masculine_coded
"Be a warrior for the brand, in the trenches every day.",masculine_coded
"Beast mode is the expectation, every single day.",masculine_coded
"A decisive, aggressive leadership style is a must.",masculine_coded
Strong-willed individual who plays to dominate the market.,masculine_coded
"We hire wolves, not sheep.",masculine_coded
A nurturing personality is essential for this role.,feminine_coded
"We want a sweet, bubbly receptionist to greet clients.",feminine_coded
"Looking for a warm, caring nature and a gentle manner.",feminine_coded
A cheerful disposition is required at all times.,feminine_coded
Soft-spoken candidates with a pleasant voice preferred.,feminine_coded
You will be the office mom who keeps everyone happy.,feminine_coded
A peppy attitude brightens our front desk.,feminine_coded
A caring disposition and motherly warmth toward residents.,feminine_coded
"An empathetic, nurturing team player who always puts others first.",feminine_coded
"Kind, sweet-natured assistant to support the executives.",feminine_coded
Bubbly front-desk personality with endless patience.,feminine_coded
