Text,Gender_bias_sentiment,Bias_type,Biased_span,Bias_explanation
We are looking for a dynamic salesman to grow our B2B pipeline.,biased,explicit_gender,salesman,Uses a gendered job title that implicitly excludes women and non-binary candidates from applying.
The ideal candidate is a businessman with a track record of closing enterprise deals.,biased,explicit_gender,businessman,Uses a male-gendered term for a professional role that is open to all genders.
We need a strong manpower pipeline to support our Q3 expansion.,biased,explicit_gender,manpower,The term manpower implies only men are valued as labour and excludes other genders.
Female candidates preferred for this front-desk receptionist position.,biased,explicit_gender,Female candidates preferred,Explicitly states a gender preference which is discriminatory and discourages other genders from applying.
We are hiring a male driver for our executive transport team.,biased,explicit_gender,male driver,Specifying a male gender requirement for a driving role has no occupational justification.
Looking for a bubbly girl to join our customer service team.,biased,explicit_gender,girl,Using 'girl' to describe a professional role is infantilising and gendered.
He will be responsible for managing the full sales cycle from prospecting to close.,biased,explicit_gender,He,Using a male pronoun as the default for an unspecified future employee excludes women and non-binary individuals.
"She will coordinate schedules, manage communications, and support the executive team.",biased,explicit_gender,She,Defaulting to a female pronoun for a support role reinforces gendered occupational stereotypes.
We are seeking a chairman for our board of directors.,biased,explicit_gender,chairman,The term chairman has a male-gendered root and signals exclusion of women and non-binary people from leadership.
Our new hire will serve as the spokeswoman for the company's diversity initiatives.,biased,explicit_gender,spokeswoman,Specifying a female spokesperson for diversity work implies diversity is a women's issue rather than a company-wide priority.
This role requires someone with strong manly confidence in client-facing situations.,biased,explicit_gender,manly confidence,Describing required professional traits with gendered adjectives implies the role is suited only to men.
The stewardess will ensure passenger comfort and safety on all flights.,biased,explicit_gender,stewardess,Stewardess is a gendered job title; flight attendant is the inclusive professional standard.
We want a craftsman who takes pride in precision engineering.,biased,explicit_gender,craftsman,The term craftsman implies the role is for men; craftsperson or skilled technician is inclusive.
Male candidate strongly preferred for this security guard position.,biased,explicit_gender,Male candidate strongly preferred,Stating a male preference for a security role has no legal occupational basis and is discriminatory.
Our HR department is looking for a maternal figure to support employee wellbeing programs.,biased,explicit_gender,maternal figure,Describing a professional role using a gendered parental metaphor discourages men and non-binary candidates.
We need a handyman to maintain our office facilities.,biased,explicit_gender,handyman,The term handyman is gendered; maintenance technician or facilities operative is inclusive.
The foreman will oversee daily operations on the construction site.,biased,explicit_gender,foreman,Foreman is a gendered supervisory title; site supervisor or team lead is the inclusive alternative.
Looking for a cameraman to cover live events for our media company.,biased,explicit_gender,cameraman,Cameraman is a gendered job title; camera operator or videographer is inclusive.
We are recruiting a policeman to join our community safety team.,biased,explicit_gender,policeman,Policeman is a gendered job title; police officer is the standard inclusive term.
The fireman must be physically fit and able to carry up to 80kg.,biased,explicit_gender,fireman,Fireman is a gendered job title; firefighter is the standard inclusive alternative.
We are hiring a barmaid to work weekend shifts at our gastropub.,biased,explicit_gender,barmaid,Barmaid is a gendered job title; bartender or bar staff is the inclusive standard.
He will report directly to the Chief Technology Officer and lead the platform team.,biased,explicit_gender,He,Defaulting to a male pronoun for a senior technical leadership role reinforces gender bias in tech.
She will be the first point of contact for all incoming client enquiries.,biased,explicit_gender,She,Defaulting to a female pronoun for a client-facing liaison role reinforces gendered occupational assumptions.
We are looking for a female nurse to join our paediatric ward.,biased,explicit_gender,female nurse,Specifying a female gender requirement for a nursing role has no occupational justification and discourages men.
We need a workman to carry out general repairs across our estate portfolio.,biased,explicit_gender,workman,Workman is a gendered job descriptor; worker or operative is the inclusive alternative.
The spokesman will liaise with press and media on behalf of the organisation.,biased,explicit_gender,spokesman,Spokesman is a gendered title; spokesperson is the standard inclusive alternative.
We are seeking a male personal trainer for our women-only gym floor.,biased,explicit_gender,male personal trainer,Specifying a male gender requirement for a personal training role requires clear occupational justification and is otherwise discriminatory.
Our team is looking for a housewife-type office administrator to keep things running smoothly.,biased,explicit_gender,housewife-type,Comparing a professional office role to domestic unpaid labour is gendered and demeaning.
Prefer to hire a woman for this childminding position.,biased,explicit_gender,Prefer to hire a woman,Stating a gender preference in hiring is discriminatory regardless of the role.
The waiter will manage table service across the restaurant floor during evening service.,biased,explicit_gender,waiter,Waiter is gendered; server or front-of-house staff is inclusive.
We are looking for a waitress to join our fine-dining team in Dubai.,biased,explicit_gender,waitress,Waitress is a gendered job title; server is the inclusive professional standard.
The repairman will attend call-outs across the southern region.,biased,explicit_gender,repairman,Repairman is a gendered job title; repair technician or engineer is inclusive.
We need a milkman to cover the early morning delivery round.,biased,explicit_gender,milkman,Milkman is a gendered job title; delivery operative or milk delivery driver is inclusive.
We are hiring a labourer — male applicants only for this construction role.,biased,explicit_gender,male applicants only,Restricting a labouring role to male applicants has no occupational justification and is discriminatory.
The draftsman will produce technical drawings for our engineering projects.,biased,explicit_gender,draftsman,Draftsman is a gendered technical title; drafter or technical illustrator is inclusive.
We want a kindhearted woman to manage our elderly care residential home.,biased,explicit_gender,kindhearted woman,Specifying gender and a gendered personality trait for a care role is discriminatory.
Our logistics team needs a delivery boy for local courier runs.,biased,explicit_gender,delivery boy,Delivery boy is a gendered and infantilising job title; delivery driver or courier is inclusive.
We are looking for a salesgirl to staff our retail stand at trade shows.,biased,explicit_gender,salesgirl,Salesgirl is a gendered and infantilising job title; sales representative or brand ambassador is inclusive.
The groundsman will maintain our sports pitches and outdoor facilities.,biased,explicit_gender,groundsman,Groundsman is a gendered job title; grounds operative or groundskeeper is inclusive.
He or she must demonstrate 5 years of software architecture experience.,biased,explicit_gender,He or she,He or she is a binary gendered default that excludes non-binary individuals; they/their is the inclusive standard.
We require a busman to operate our private shuttle service.,biased,explicit_gender,busman,Busman is a gendered job title; bus driver or coach operator is inclusive.
Looking for a young woman with good communication skills to manage our reception.,biased,explicit_gender,young woman,Specifying a gender and implying youth as requirements for a reception role is gender and age discriminatory.
The serviceman will be responsible for maintaining HVAC systems across client sites.,biased,explicit_gender,serviceman,Serviceman is a gendered job title with military connotations; service engineer or HVAC technician is inclusive.
We are hiring a bricklayer — male applicants preferred for this physically demanding role.,biased,explicit_gender,male applicants preferred,Physical demands do not justify a gender preference; women and non-binary people can meet physical requirements.
Prefer a female receptionist for our Harley Street medical clinic.,biased,explicit_gender,female receptionist,Specifying a female gender preference for a reception role has no occupational justification.
Looking for a gentleman who can represent our brand with gravitas at events.,biased,explicit_gender,gentleman,Gentleman is an explicitly gendered descriptor that signals only men are welcome for a public-facing role.
The woman in this role will coordinate all administrative functions for the department.,biased,explicit_gender,woman,Specifying that the role's occupant will be a woman is direct gender discrimination.
Our Mumbai office needs a peon — male candidates preferred.,biased,explicit_gender,male candidates preferred,Stating a male preference for an administrative support role in South Asian hiring context has no occupational justification.
We seek a dhobi or washerman to manage laundry operations at our hotel.,biased,explicit_gender,washerman,Washerman is a gendered job title that excludes women and non-binary people from applying.
Our Riyadh office requires a male driver familiar with local road regulations.,biased,explicit_gender,male driver,"Unless a gender-based occupational requirement is legally registered, specifying male-only drivers is gender discriminatory."
