Text,Gender_bias_sentiment,Bias_type,Biased_span,Bias_explanation,
The candidate will collaborate with cross-functional teams to deliver product features.,neutral,none,,"Uses neutral, skill-focused language with no gender or age implications.",
Applicants should be able to communicate clearly with stakeholders at all levels.,neutral,none,,"Focuses on communication skills without referencing gender, age, or stereotypes.",
We welcome applicants from all educational and professional backgrounds.,neutral,none,,Explicitly inclusive and does not imply any gender-related expectations.,
The role involves writing documentation and supporting customer inquiries.,neutral,none,,Describes job tasks in neutral terms with no biased assumptions.,
Candidates must be proficient in Python and SQL.,neutral,none,,"Purely skills-based requirement with no gender, age, or lifestyle bias.",
The ideal hire is comfortable working in a fast-paced environment with changing priorities.,neutral,none,,Describes work context without targeting any gender or age group.,
Team members are encouraged to share new ideas and challenge existing processes.,positive,none,,Highlights openness and innovation without connecting it to a particular gender or age.,
We support flexible working arrangements to accommodate different life circumstances.,positive,none,,Explicitly inclusive of workers with caregiving or other responsibilities.,
The successful candidate will partner with HR and legal to maintain compliance.,neutral,none,,Neutral description of responsibilities with no biased or exclusionary terms.,
Employees are evaluated based on performance metrics and objective outcomes.,positive,none,,Emphasizes fairness and objectivity without referencing gender or age.,
He will lead a team of five engineers on high-visibility projects.,negative,explicit_gender,He,Uses a gender-specific pronoun that may implicitly exclude women and nonbinary candidates.,
She will manage all key client relationships in the portfolio.,negative,explicit_gender,She,Uses female-gendered language that can suggest the role is reserved for women and excludes others.,
We are seeking a strong male presence to guide our operations team.,negative,explicit_gender,male presence,Explicitly targets men and signals that other genders are not preferred for the role.,
Young man preferred for entry-level warehouse work.,negative,explicit_gender,Young man,Combines gender and age to favor young men while discouraging women and older candidates.,
Female candidate needed to support our executive team with scheduling and travel.,negative,explicit_gender,Female candidate,Specifies a gender requirement without any job-related justification.,
Looking for a woman to lead our community outreach programs.,negative,explicit_gender,woman,Gender preference can deter candidates who do not identify as women even if they are qualified.,
We need a dominant leader who can control the team and push them hard.,biased,stereotype,dominant leader,Uses stereotypically masculine leadership language instead of focusing on specific management skills.,
This role requires someone who is not emotional under pressure.,biased,stereotype,not emotional,Imposes a stereotype that emotional expression is undesirable and can reinforce gendered expectations.,
Looking for a nurturing female teacher for our early childhood program.,biased,stereotype,nurturing female,"Associates nurturing behavior specifically with women, reinforcing gender-role stereotypes.",
We want an aggressive salesman who can crush targets every quarter.,biased,stereotype,aggressive salesman,"Links aggression and sales ability to male identity, reinforcing gendered expectations.",
The ideal candidate is a soft-spoken woman who can calm upset customers.,biased,stereotype,soft-spoken woman,"Connects a specific personality trait to women, reinforcing narrow gender roles.",
We need a motherly figure to support students during stressful exam periods.,biased,stereotype,motherly figure,Associates care and emotional support with maternal stereotypes rather than professional skills.,
Must be willing to work long hours and be available at all times.,biased,requirements_bias,work long hours and be available at all times,Unrealistic availability expectations that may disadvantage caregivers or people with family responsibilities.,
The candidate must always be available on evenings and weekends.,biased,requirements_bias,always be available on evenings and weekends,"Demands constant availability, which can disproportionately exclude those with caregiving duties.",
Only applicants without family obligations should apply for this role.,biased,requirements_bias,without family obligations,"Explicitly excludes people with families or caregiving responsibilities, which can indirectly discriminate by gender.",
Applicants must be willing to respond to emergencies 24/7 with no exceptions.,biased,requirements_bias,24/7 with no exceptions,"Requires continuous availability, making it harder for people with caregiving or health needs to participate.",
Weekend work is required every week,with limited flexibility for schedule changes.,biased,requirements_bias,"required every week, with limited flexibility",Strict scheduling reduces access for candidates with family or community obligations.
We are looking for a young energetic man to join our marketing team.,biased,age_bias,young energetic man,Combines age and gender in a way that encourages young men and discourages women and older candidates.,
Fresh graduate only; older applicants will not be considered.,biased,age_bias,Fresh graduate only; older applicants will not be considered,"Explicitly excludes older candidates purely based on age, not qualifications.",
The ideal candidate is a youthful self-starter who lives and breathes social media.,biased,age_bias,youthful,"Suggests a preference for younger candidates, which can discourage older applicants.",
Digital natives under 30 are strongly preferred for this analyst role.,biased,age_bias,under 30,Sets an upper age boundary unrelated to the actual job skills required.,
Seeking a recent graduate to join our energetic young sales squad.,biased,age_bias,recent graduate,Favoring recent graduates can indirectly disadvantage experienced or older applicants.,
